name,light_years_from_earth,planet_mass,stellar_magnitude,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,solar_system_name,planet_discovery_method,planet_orbital_inclination,host_temperature,host_radius,host_mass,right_ascension,declination
hd 102329 c,708.0,1.52 Jupiters,7.88,Gas Giant,1.21 x Jupiter,Unknown,3.1 years,0.21,hd 106515 a b,HD 106515 A,Radial Velocity,,5362.0,1.62,0.97,12h15m06.30s,-07d15m27.15s
hd 102365 b,30.0,16 Earths,4.89,Neptune-like,0.369 x Jupiter,0.46 AU,122.1 days,0.34,hd 106906 b,HD 106906,Imaging,,6516.0,2.12,1.5,12h17m53.12s,-55d58m32.09s
hd 102843 b,205.0,0.35837 Jupiters,9.26,Gas Giant,1.17 x Jupiter,4.074 AU,8.5 years,0.11,hd 10697 b,HD 10697,Radial Velocity,,5600.0,1.79,1.13,01h44m55.78s,+20d04m57.71s
hd 102956 b,398.0,0.96 Jupiters,7.86,Gas Giant,1.23 x Jupiter,0.0807 AU,6.5 days,0.04,hd 107148 b,HD 107148,Radial Velocity,,5797.0,1.17,1.12,12h19m13.43s,-03d19m11.97s
hd 103197 b,186.0,28.6047 Earths,9.4,Neptune-like,0.52 x Jupiter,0.25 AU,47.8 days,0.0,hd 107148 c,HD 107148,Radial Velocity,,5752.92,1.17,1.11,12h19m13.43s,-03d19m11.97s
hd 103720 b,149.0,0.62 Jupiters,9.5,Gas Giant,1.26 x Jupiter,0.0498 AU,4.6 days,0.09,hd 108147 b,HD 108147,Radial Velocity,,6255.73,1.21,1.22,12h25m45.84s,-64d01m20.46s
hd 103774 b,184.0,0.367 Jupiters,7.13463,Gas Giant,1.19 x Jupiter,0.07 AU,5.9 days,0.09,hd 108236 b,HD 108236,Transit,,5660.0,0.88,0.87,12h26m17.78s,-51d21m46.99s
hd 103949 b,86.0,11.2 Earths,8.7,Neptune-like,0.299 x Jupiter,0.439 AU,120.9 days,0.19,hd 108236 c,HD 108236,Transit,81.4,5660.0,0.88,0.87,12h26m17.78s,-51d21m46.99s
hd 104067 b,66.0,0.16 Jupiters,7.92,Gas Giant,0.729 x Jupiter,0.26 AU,55.8 days,0.0,hd 108236 d,HD 108236,Transit,68.16,5660.0,0.88,0.87,12h26m17.78s,-51d21m46.99s
hd 10442 b,442.0,1.487 Jupiters,7.828,Gas Giant,1.21 x Jupiter,2.01 AU,2.8 years,0.13,hd 108236 e,HD 108236,Transit,58.72,5660.0,0.88,0.87,12h26m17.78s,-51d21m46.99s
hd 104985 b,328.0,8.3 Jupiters,5.79389,Gas Giant,1.12 x Jupiter,0.95 AU,199.5 days,0.09,hd 108236 f,HD 108236,Transit,,5660.0,0.88,0.87,12h26m17.78s,-51d21m46.99s
hd 106252 b,125.0,6.93 Jupiters,7.41,Gas Giant,1.13 x Jupiter,2.61 AU,4.2 years,0.48,hd 108341 b,HD 108341,Radial Velocity,,5122.0,0.79,0.84,12h27m31.00s,-71d25m20.96s
hd 106270 b,306.0,10.13 Jupiters,7.58,Gas Giant,1.11 x Jupiter,3.34 AU,5.2 years,0.19,hd 108863 b,HD 108863,Radial Velocity,,4878.0,5.74,1.59,12h30m19.83s,+21d56m53.16s
hd 106315 b,357.0,12.6 Earths,8.951,Super Earth,0.218 x Jupiter,0.0907 AU,9.6 days,0.09,hd 108874 b,HD 108874,Radial Velocity,,5600.0,1.05,1.1,12h30m27.02s,+22d52m45.98s
